Order Date,Product ID,Product Name,Sales_amount,Quantity,Discount,Profit,Year,Adjusted Quantity
2016-03-03,P001,Product 1,258,6,0.03,50.05,2016,165
2016-03-04,P001,Product 1,201,6,0.18,32.96,2016,173
2016-03-05,P001,Product 1,892,6,0.28,128.45,2016,182
2016-03-06,P001,Product 1,340,6,0.06,63.92,2016,191
2016-03-07,P001,Product 1,763,6,0.26,112.92,2016,200
2016-03-08,P001,Product 1,757,6,0.13,131.72,2016,210
2016-03-09,P001,Product 1,527,6,0.08,96.97,2016,221
2016-03-10,P001,Product 1,111,6,0.09,20.2,2016,232
2016-03-11,P001,Product 1,213,6,0.11,37.91,2016,243
2016-03-12,P001,Product 1,106,6,0.25,15.9,2016,256
2016-03-13,P001,Product 1,111,6,0.13,19.31,2016,268
2016-03-14,P001,Product 1,714,6,0.24,108.53,2016,282
2016-03-15,P001,Product 1,987,6,0.19,159.89,2016,296
2016-03-16,P001,Product 1,724,6,0.03,140.46,2016,311
2016-03-17,P001,Product 1,507,6,0.0,101.4,2016,326
2016-03-18,P001,Product 1,903,6,0.23,139.06,2016,343
2016-03-19,P001,Product 1,824,6,0.27,120.3,2016,360
2016-03-20,P001,Product 1,706,6,0.05,134.14,2016,378
2016-03-21,P001,Product 1,572,6,0.22,89.23,2016,396
2016-03-22,P001,Product 1,231,6,0.23,35.57,2016,416
2016-03-23,P001,Product 1,287,6,0.15,48.79,2016,437
2016-03-24,P001,Product 1,223,6,0.17,37.02,2016,459
2016-03-25,P001,Product 1,394,6,0.27,57.52,2016,482
2016-03-26,P001,Product 1,912,6,0.01,180.58,2016,506
2016-03-27,P001,Product 1,470,6,0.28,67.68,2016,531
2016-03-28,P001,Product 1,156,6,0.03,30.26,2016,558
2016-03-29,P001,Product 1,895,6,0.17,148.57,2016,586
2016-03-30,P001,Product 1,658,6,0.16,110.54,2016,615
2016-03-31,P001,Product 1,674,6,0.04,129.41,2016,646
2016-04-01,P001,Product 1,325,7,0.25,48.75,2016,678
2016-04-02,P001,Product 1,759,7,0.25,113.85,2016,712
2016-04-03,P001,Product 1,801,7,0.12,140.98,2016,748
2016-04-04,P001,Product 1,385,7,0.0,77.0,2016,785
2016-04-05,P001,Product 1,760,7,0.08,139.84,2016,824
2016-04-06,P001,Product 1,554,7,0.12,97.5,2016,865
2016-04-07,P001,Product 1,752,7,0.26,111.3,2016,909
2016-04-08,P001,Product 1,226,7,0.12,39.78,2016,954
2016-04-09,P001,Product 1,836,7,0.1,150.48,2016,1002
2016-04-10,P001,Product 1,410,7,0.27,59.86,2016,1052
2016-04-11,P001,Product 1,778,7,0.05,147.82,2016,1105
2016-04-12,P001,Product 1,174,7,0.03,33.76,2016,1160
2016-04-13,P001,Product 1,264,7,0.17,43.82,2016,1218
2016-04-14,P001,Product 1,763,7,0.14,131.24,2016,1279
2016-04-15,P001,Product 1,794,7,0.15,134.98,2016,1343
2016-04-16,P001,Product 1,112,7,0.01,22.18,2016,1410
2016-04-17,P001,Product 1,648,7,0.28,93.31,2016,1480
2016-04-18,P001,Product 1,549,7,0.12,96.62,2016,1554
2016-04-19,P001,Product 1,665,7,0.19,107.73,2016,1632
2016-04-20,P001,Product 1,187,7,0.14,32.16,2016,1714
2016-04-21,P001,Product 1,274,7,0.08,50.42,2016,1799
2016-04-22,P001,Product 1,199,7,0.06,37.41,2016,1889
2016-04-23,P001,Product 1,664,7,0.21,104.91,2016,1984
2016-04-24,P001,Product 1,797,7,0.01,157.81,2016,2083
2016-04-25,P001,Product 1,588,7,0.18,96.43,2016,2187
2016-04-26,P001,Product 1,663,7,0.09,120.67,2016,2296
2016-04-27,P001,Product 1,192,7,0.06,36.1,2016,2411
2016-04-28,P001,Product 1,224,7,0.21,35.39,2016,2532
2016-04-29,P001,Product 1,421,7,0.22,65.68,2016,2658
2016-04-30,P001,Product 1,215,7,0.17,35.69,2016,2791
2016-05-01,P001,Product 1,208,9,0.27,30.37,2016,2931
2016-05-02,P001,Product 1,635,9,0.2,101.6,2016,3077
2016-05-03,P001,Product 1,137,9,0.2,21.92,2016,3231
2016-05-04,P001,Product 1,620,9,0.29,88.04,2016,3393
2016-05-05,P001,Product 1,862,9,0.06,162.06,2016,3562
2016-05-06,P001,Product 1,414,9,0.21,65.41,2016,3741
2016-05-07,P001,Product 1,309,9,0.2,49.44,2016,3928
2016-05-08,P001,Product 1,690,9,0.06,129.72,2016,4124
2016-05-09,P001,Product 1,902,9,0.09,164.16,2016,4330
2016-05-10,P001,Product 1,199,9,0.26,29.45,2016,4547
2016-05-11,P001,Product 1,361,9,0.03,70.03,2016,4774
2016-05-12,P001,Product 1,168,9,0.02,32.93,2016,5013
2016-05-13,P001,Product 1,895,9,0.27,130.67,2016,5263
2016-05-14,P001,Product 1,853,9,0.08,156.95,2016,5527
2016-05-15,P001,Product 1,666,9,0.1,119.88,2016,5803
2016-05-16,P001,Product 1,144,9,0.22,22.46,2016,6093
2016-05-17,P001,Product 1,608,9,0.12,107.01,2016,6398
2016-05-18,P001,Product 1,920,9,0.01,182.16,2016,6718
2016-05-19,P001,Product 1,641,9,0.24,97.43,2016,7053
2016-05-20,P001,Product 1,673,9,0.14,115.76,2016,7406
2016-05-21,P001,Product 1,994,9,0.22,155.06,2016,7776
2016-05-22,P001,Product 1,757,9,0.08,139.29,2016,8165
2016-05-23,P001,Product 1,674,9,0.01,133.45,2016,8574
2016-05-24,P001,Product 1,499,9,0.29,70.86,2016,9002
2016-05-25,P001,Product 1,310,9,0.28,44.64,2016,9452
2016-05-26,P001,Product 1,950,9,0.19,153.9,2016,9925
2016-05-27,P001,Product 1,686,9,0.03,133.08,2016,10421
2016-05-28,P001,Product 1,306,9,0.02,59.98,2016,10942
2016-05-29,P001,Product 1,209,9,0.07,38.87,2016,11489
2016-05-30,P001,Product 1,346,9,0.25,51.9,2016,12064
2016-05-31,P001,Product 1,426,9,0.26,63.05,2016,12667
2016-06-01,P001,Product 1,511,12,0.05,97.09,2016,13300
2016-06-02,P001,Product 1,656,12,0.24,99.71,2016,13965
2016-06-03,P001,Product 1,112,12,0.12,19.71,2016,14664
2016-06-04,P001,Product 1,239,12,0.23,36.81,2016,15397
2016-06-05,P001,Product 1,162,12,0.28,23.33,2016,16167
2016-06-06,P001,Product 1,895,12,0.03,173.63,2016,16975
2016-06-07,P001,Product 1,104,12,0.23,16.02,2016,17824
2016-06-08,P001,Product 1,864,12,0.09,157.25,2016,18715
2016-06-09,P001,Product 1,542,12,0.06,101.9,2016,19651
2016-06-10,P001,Product 1,651,12,0.18,106.76,2016,20633
2016-06-11,P001,Product 1,774,12,0.2,123.84,2016,21665
2016-06-12,P001,Product 1,480,12,0.27,70.08,2016,22748
2016-06-13,P001,Product 1,470,12,0.19,76.14,2016,23886
2016-06-14,P001,Product 1,934,12,0.0,186.8,2016,25080
2016-06-15,P001,Product 1,224,12,0.09,40.77,2016,26334
2016-06-16,P001,Product 1,675,12,0.28,97.2,2016,27650
2016-06-17,P001,Product 1,991,12,0.07,184.33,2016,29033
2016-06-18,P001,Product 1,759,12,0.08,139.66,2016,30485
2016-06-19,P001,Product 1,616,12,0.2,98.56,2016,32009
2016-06-20,P001,Product 1,206,12,0.25,30.9,2016,33609
2016-06-21,P001,Product 1,916,12,0.17,152.06,2016,35290
2016-06-22,P001,Product 1,957,12,0.19,155.03,2016,37054
2016-06-23,P001,Product 1,121,12,0.18,19.84,2016,38907
2016-06-24,P001,Product 1,867,12,0.0,173.4,2016,40852
2016-06-25,P001,Product 1,443,12,0.26,65.56,2016,42895
2016-06-26,P001,Product 1,270,12,0.09,49.14,2016,45040
2016-06-27,P001,Product 1,547,12,0.08,100.65,2016,47292
2016-06-28,P001,Product 1,665,12,0.29,94.43,2016,49656
2016-06-29,P001,Product 1,457,12,0.18,74.95,2016,52139
2016-06-30,P001,Product 1,556,12,0.03,107.86,2016,54746
2016-07-01,P001,Product 1,482,14,0.3,67.48,2016,57483
2016-07-02,P001,Product 1,373,14,0.06,70.12,2016,60358
2016-07-03,P001,Product 1,515,14,0.18,84.46,2016,63375
2016-07-04,P001,Product 1,294,14,0.17,48.8,2016,66544
2016-07-05,P001,Product 1,240,14,0.2,38.4,2016,69871
2016-07-06,P001,Product 1,538,14,0.3,75.32,2016,73365
2016-07-07,P001,Product 1,393,14,0.17,65.24,2016,77033
2016-07-08,P001,Product 1,402,14,0.08,73.97,2016,80885
2016-07-09,P001,Product 1,174,14,0.28,25.06,2016,84929
2016-07-10,P001,Product 1,947,14,0.07,176.14,2016,89176
2016-07-11,P001,Product 1,168,14,0.2,26.88,2016,93634
2016-07-12,P001,Product 1,714,14,0.24,108.53,2016,98316
2016-07-13,P001,Product 1,417,14,0.25,62.55,2016,103232
2016-07-14,P001,Product 1,314,14,0.2,50.24,2016,108394
2016-07-15,P001,Product 1,134,14,0.05,25.46,2016,113813
2016-07-16,P001,Product 1,727,14,0.18,119.23,2016,119504
2016-07-17,P001,Product 1,491,14,0.14,84.45,2016,125479
2016-07-18,P001,Product 1,587,14,0.13,102.14,2016,131753
2016-07-19,P001,Product 1,973,14,0.01,192.65,2016,138341
2016-07-20,P001,Product 1,462,14,0.16,77.62,2016,145258
2016-07-21,P001,Product 1,211,14,0.09,38.4,2016,152521
2016-07-22,P001,Product 1,803,14,0.25,120.45,2016,160147
2016-07-23,P001,Product 1,560,14,0.08,103.04,2016,168154
2016-07-24,P001,Product 1,386,14,0.28,55.58,2016,176562
2016-07-25,P001,Product 1,738,14,0.16,123.98,2016,185390
2016-07-26,P001,Product 1,467,14,0.21,73.79,2016,194659
2016-07-27,P001,Product 1,957,14,0.15,162.69,2016,204392
2016-07-28,P001,Product 1,288,14,0.12,50.69,2016,214612
2016-07-29,P001,Product 1,385,14,0.27,56.21,2016,225342
2016-07-30,P001,Product 1,608,14,0.15,103.36,2016,236609
2016-07-31,P001,Product 1,628,14,0.01,124.34,2016,248440
2016-08-01,P001,Product 1,205,16,0.19,33.21,2016,260862
2016-08-02,P001,Product 1,953,16,0.04,182.98,2016,273905
2016-08-03,P001,Product 1,542,16,0.02,106.23,2016,287600
2016-08-04,P001,Product 1,534,16,0.1,96.12,2016,301980
2016-08-05,P001,Product 1,629,16,0.16,105.67,2016,317079
2016-08-06,P001,Product 1,919,16,0.04,176.45,2016,332933
2016-08-07,P001,Product 1,399,16,0.24,60.65,2016,349580
2016-08-08,P001,Product 1,498,16,0.12,87.65,2016,367059
2016-08-09,P001,Product 1,845,16,0.05,160.55,2016,385412
2016-08-10,P001,Product 1,788,16,0.17,130.81,2016,404682
2016-08-11,P001,Product 1,501,16,0.09,91.18,2016,424917
2016-08-12,P001,Product 1,244,16,0.01,48.31,2016,446162
2016-08-13,P001,Product 1,124,16,0.04,23.81,2016,468471
2016-08-14,P001,Product 1,603,16,0.17,100.1,2016,491894
2016-08-15,P001,Product 1,822,16,0.11,146.32,2016,516489
2016-08-16,P001,Product 1,501,16,0.08,92.18,2016,542313
2016-08-17,P001,Product 1,909,16,0.23,139.99,2016,569429
2016-08-18,P001,Product 1,608,16,0.19,98.5,2016,597900
2016-08-19,P001,Product 1,240,16,0.21,37.92,2016,627795
2016-08-20,P001,Product 1,156,16,0.13,27.14,2016,659185
2016-08-21,P001,Product 1,425,16,0.03,82.45,2016,692144
2016-08-22,P001,Product 1,115,16,0.18,18.86,2016,726752
2016-08-23,P001,Product 1,278,16,0.3,38.92,2016,763089
2016-08-24,P001,Product 1,225,16,0.02,44.1,2016,801244
2016-08-25,P001,Product 1,624,16,0.29,88.61,2016,841306
2016-08-26,P001,Product 1,601,16,0.06,112.99,2016,883371
2016-08-27,P001,Product 1,913,16,0.2,146.08,2016,927540
2016-08-28,P001,Product 1,577,16,0.05,109.63,2016,973917
2016-08-29,P001,Product 1,396,16,0.02,77.62,2016,1022612
2016-08-30,P001,Product 1,406,16,0.14,69.83,2016,1073743
2016-08-31,P001,Product 1,275,16,0.3,38.5,2016,1127430
2016-09-01,P001,Product 1,796,17,0.22,124.18,2016,1183802
2016-09-02,P001,Product 1,904,17,0.15,153.68,2016,1242992
2016-09-03,P001,Product 1,908,17,0.07,168.89,2016,1305141
2016-09-04,P001,Product 1,622,17,0.27,90.81,2016,1370398
2016-09-05,P001,Product 1,328,17,0.08,60.35,2016,1438918
2016-09-06,P001,Product 1,745,17,0.14,128.14,2016,1510864
2016-09-07,P001,Product 1,997,17,0.28,143.57,2016,1586408
2016-09-08,P001,Product 1,819,17,0.12,144.14,2016,1665728
2016-09-09,P001,Product 1,601,17,0.27,87.75,2016,1749014
2016-09-10,P001,Product 1,827,17,0.08,152.17,2016,1836465
2016-09-11,P001,Product 1,872,17,0.18,143.01,2016,1928288
2016-09-12,P001,Product 1,271,17,0.03,52.57,2016,2024703
2016-09-13,P001,Product 1,888,17,0.14,152.74,2016,2125938
2016-09-14,P001,Product 1,321,17,0.01,63.56,2016,2232235
2016-09-15,P001,Product 1,336,17,0.25,50.4,2016,2343846
2016-09-16,P001,Product 1,973,17,0.02,190.71,2016,2461039
2016-09-17,P001,Product 1,747,17,0.23,115.04,2016,2584091
2016-09-18,P001,Product 1,757,17,0.14,130.2,2016,2713295
2016-09-19,P001,Product 1,779,17,0.05,148.01,2016,2848960
2016-09-20,P001,Product 1,786,17,0.05,149.34,2016,2991408
2016-09-21,P001,Product 1,465,17,0.16,78.12,2016,3140978
2016-09-22,P001,Product 1,204,17,0.25,30.6,2016,3298027
2016-09-23,P001,Product 1,884,17,0.29,125.53,2016,3462929
2016-09-24,P001,Product 1,178,17,0.27,25.99,2016,3636075
2016-09-25,P001,Product 1,545,17,0.08,100.28,2016,3817879
2016-09-26,P001,Product 1,673,17,0.16,113.06,2016,4008773
2016-09-27,P001,Product 1,462,17,0.18,75.77,2016,4209211
2016-09-28,P001,Product 1,244,17,0.16,40.99,2016,4419672
2016-09-29,P001,Product 1,491,17,0.08,90.34,2016,4640656
2016-09-30,P001,Product 1,341,17,0.03,66.15,2016,4872688
2016-10-01,P001,Product 1,843,17,0.16,141.62,2016,5116323
2016-10-02,P001,Product 1,333,17,0.29,47.29,2016,5372139
2016-10-03,P001,Product 1,522,17,0.3,73.08,2016,5640746
2016-10-04,P001,Product 1,629,17,0.13,109.45,2016,5922783
2016-10-05,P001,Product 1,584,17,0.13,101.62,2016,6218922
2016-10-06,P001,Product 1,251,17,0.12,44.18,2016,6529868
2016-10-07,P001,Product 1,121,17,0.06,22.75,2016,6856362
2016-10-08,P001,Product 1,877,17,0.23,135.06,2016,7199180
2016-10-09,P001,Product 1,247,17,0.09,44.95,2016,7559139
2016-10-10,P001,Product 1,384,17,0.02,75.26,2016,7937096
2016-10-11,P001,Product 1,991,17,0.1,178.38,2016,8333951
2016-10-12,P001,Product 1,301,17,0.05,57.19,2016,8750648
2016-10-13,P001,Product 1,335,17,0.05,63.65,2016,9188181
2016-10-14,P001,Product 1,949,17,0.02,186.0,2016,9647590
2016-10-15,P001,Product 1,416,17,0.22,64.9,2016,10129969
2016-10-16,P001,Product 1,815,17,0.12,143.44,2016,10636468
2016-10-17,P001,Product 1,979,17,0.27,142.93,2016,11168291
2016-10-18,P001,Product 1,926,17,0.14,159.27,2016,11726705
2016-10-19,P001,Product 1,925,17,0.0,185.0,2016,12313041
2016-10-20,P001,Product 1,193,17,0.26,28.56,2016,12928693
2016-10-21,P001,Product 1,644,17,0.26,95.31,2016,13575127
2016-10-22,P001,Product 1,348,17,0.09,63.34,2016,14253884
2016-10-23,P001,Product 1,460,17,0.27,67.16,2016,14966578
2016-10-24,P001,Product 1,918,17,0.07,170.75,2016,15714907
2016-10-25,P001,Product 1,188,17,0.22,29.33,2016,16500652
2016-10-26,P001,Product 1,997,17,0.05,189.43,2016,17325685
2016-10-27,P001,Product 1,127,17,0.04,24.38,2016,18191969
2016-10-28,P001,Product 1,155,17,0.1,27.9,2016,19101567
2016-10-29,P001,Product 1,368,17,0.28,52.99,2016,20056646
2016-10-30,P001,Product 1,172,17,0.26,25.46,2016,21059478
2016-10-31,P001,Product 1,356,17,0.27,51.98,2016,22112452
2016-11-01,P001,Product 1,780,16,0.03,151.32,2016,23218075
2016-11-02,P001,Product 1,101,16,0.23,15.55,2016,24378978
2016-11-03,P001,Product 1,169,16,0.2,27.04,2016,25597927
2016-11-04,P001,Product 1,427,16,0.28,61.49,2016,26877824
2016-11-05,P001,Product 1,370,16,0.09,67.34,2016,28221715
2016-11-06,P001,Product 1,440,16,0.24,66.88,2016,29632801
2016-11-07,P001,Product 1,669,16,0.08,123.1,2016,31114441
2016-11-08,P001,Product 1,672,16,0.17,111.55,2016,32670163
2016-11-09,P001,Product 1,189,16,0.13,32.89,2016,34303671
2016-11-10,P001,Product 1,600,16,0.06,112.8,2016,36018854
2016-11-11,P001,Product 1,366,16,0.03,71.0,2016,37819797
2016-11-12,P001,Product 1,173,16,0.26,25.6,2016,39710787
2016-11-13,P001,Product 1,231,16,0.29,32.8,2016,41696326
2016-11-14,P001,Product 1,790,16,0.28,113.76,2016,43781143
2016-11-15,P001,Product 1,589,16,0.05,111.91,2016,45970200
2016-11-16,P001,Product 1,480,16,0.25,72.0,2016,48268710
2016-11-17,P001,Product 1,617,16,0.25,92.55,2016,50682145
2016-11-18,P001,Product 1,919,16,0.28,132.34,2016,53216252
2016-11-19,P001,Product 1,853,16,0.17,141.6,2016,55877065
2016-11-20,P001,Product 1,106,16,0.19,17.17,2016,58670918
2016-11-21,P001,Product 1,641,16,0.08,117.94,2016,61604464
2016-11-22,P001,Product 1,786,16,0.23,121.04,2016,64684687
2016-11-23,P001,Product 1,282,16,0.16,47.38,2016,67918922
2016-11-24,P001,Product 1,519,16,0.13,90.31,2016,71314868
2016-11-25,P001,Product 1,659,16,0.1,118.62,2016,74880611
2016-11-26,P001,Product 1,895,16,0.26,132.46,2016,78624642
2016-11-27,P001,Product 1,778,16,0.22,121.37,2016,82555874
2016-11-28,P001,Product 1,757,16,0.27,110.52,2016,86683668
2016-11-29,P001,Product 1,363,16,0.28,52.27,2016,91017851
2016-11-30,P001,Product 1,601,16,0.25,90.15,2016,95568744
2016-12-01,P001,Product 1,938,13,0.02,183.85,2016,100347181
2016-12-02,P001,Product 1,596,13,0.04,114.43,2016,105364540
2016-12-03,P001,Product 1,358,13,0.15,60.86,2016,110632767
2016-12-04,P001,Product 1,534,13,0.09,97.19,2016,116164405
2016-12-05,P001,Product 1,120,13,0.15,20.4,2016,121972625
2016-12-06,P001,Product 1,291,13,0.01,57.62,2016,128071257
2016-12-07,P001,Product 1,862,13,0.29,122.4,2016,134474819
2016-12-08,P001,Product 1,196,13,0.22,30.58,2016,141198560
2016-12-09,P001,Product 1,627,13,0.29,89.03,2016,148258488
2016-12-10,P001,Product 1,441,13,0.09,80.26,2016,155671413
2016-12-11,P001,Product 1,198,13,0.26,29.3,2016,163454984
2016-12-12,P001,Product 1,786,13,0.09,143.05,2016,171627733
2016-12-13,P001,Product 1,900,13,0.03,174.6,2016,180209119
2016-12-14,P001,Product 1,573,13,0.17,95.12,2016,189219575
2016-12-15,P001,Product 1,991,13,0.06,186.31,2016,198680554
2016-12-16,P001,Product 1,192,13,0.19,31.1,2016,208614582
2016-12-17,P001,Product 1,779,13,0.01,154.24,2016,219045311
2016-12-18,P001,Product 1,481,13,0.06,90.43,2016,229997576
2016-12-19,P001,Product 1,516,13,0.01,102.17,2016,241497455
2016-12-20,P001,Product 1,825,13,0.05,156.75,2016,253572328
2016-12-21,P001,Product 1,379,13,0.22,59.12,2016,266250944
2016-12-22,P001,Product 1,646,13,0.23,99.48,2016,279563492
2016-12-23,P001,Product 1,486,13,0.01,96.23,2016,293541666
2016-12-24,P001,Product 1,755,13,0.22,117.78,2016,308218749
2016-12-25,P001,Product 1,584,13,0.07,108.62,2016,323629687
2016-12-26,P001,Product 1,750,13,0.26,111.0,2016,339811171
2016-12-27,P001,Product 1,654,13,0.17,108.56,2016,356801730
2016-12-28,P001,Product 1,408,13,0.27,59.57,2016,374641816
2016-12-29,P001,Product 1,693,13,0.09,126.13,2016,393373907
2016-12-30,P001,Product 1,427,13,0.12,75.15,2016,413042602
2016-12-31,P001,Product 1,330,13,0.21,52.14,2016,433694733
2017-01-01,P001,Product 1,143,8,0.11,25.45,2017,455379469
2017-01-02,P001,Product 1,642,8,0.18,105.29,2017,478148443
2017-01-03,P001,Product 1,201,8,0.19,32.56,2017,502055865
2017-01-04,P001,Product 1,855,8,0.11,152.19,2017,527158658
2017-01-05,P001,Product 1,601,8,0.05,114.19,2017,553516591
2017-01-06,P001,Product 1,803,8,0.21,126.87,2017,581192421
2017-01-07,P001,Product 1,731,8,0.15,124.27,2017,610252042
2017-01-08,P001,Product 1,635,8,0.09,115.57,2017,640764644
2017-01-09,P001,Product 1,224,8,0.02,43.9,2017,672802876
2017-01-10,P001,Product 1,625,8,0.13,108.75,2017,706443020
2017-01-11,P001,Product 1,574,8,0.15,97.58,2017,741765171
2017-01-12,P001,Product 1,879,8,0.22,137.12,2017,778853429
2017-01-13,P001,Product 1,582,8,0.24,88.46,2017,817796101
2017-01-14,P001,Product 1,249,8,0.03,48.31,2017,858685906
2017-01-15,P001,Product 1,231,8,0.19,37.42,2017,901620201
2017-01-16,P001,Product 1,368,8,0.03,71.39,2017,946701211
2017-01-17,P001,Product 1,495,8,0.3,69.3,2017,994036272
2017-01-18,P001,Product 1,152,8,0.23,23.41,2017,1043738085
2017-01-19,P001,Product 1,476,8,0.29,67.59,2017,1095924989
2017-01-20,P001,Product 1,425,8,0.15,72.25,2017,1150721239
2017-01-21,P001,Product 1,820,8,0.16,137.76,2017,1208257301
2017-01-22,P001,Product 1,335,8,0.04,64.32,2017,1268670166
2017-01-23,P001,Product 1,590,8,0.08,108.56,2017,1332103674
2017-01-24,P001,Product 1,766,8,0.22,119.5,2017,1398708858
2017-01-25,P001,Product 1,720,8,0.18,118.08,2017,1468644301
2017-01-26,P001,Product 1,258,8,0.06,48.5,2017,1542076516
2017-01-27,P001,Product 1,538,8,0.24,81.78,2017,1619180341
2017-01-28,P001,Product 1,608,8,0.24,92.42,2017,1700139359
2017-01-29,P001,Product 1,638,8,0.06,119.94,2017,1785146326
2017-01-30,P001,Product 1,230,8,0.08,42.32,2017,1874403643
2017-01-31,P001,Product 1,165,8,0.24,25.08,2017,1968123825
2017-02-01,P001,Product 1,312,6,0.17,51.79,2017,2066530016
2017-02-02,P001,Product 1,409,6,0.02,80.16,2017,2169856517
2017-02-03,P001,Product 1,665,6,0.08,122.36,2017,2278349343
2017-02-04,P001,Product 1,120,6,0.3,16.8,2017,2392266810
2017-02-05,P001,Product 1,251,6,0.0,50.2,2017,2511880150
2017-02-06,P001,Product 1,977,6,0.11,173.91,2017,2637474158
2017-02-07,P001,Product 1,668,6,0.02,130.93,2017,2769347866
2017-02-08,P001,Product 1,245,6,0.19,39.69,2017,2907815259
2017-02-09,P001,Product 1,783,6,0.1,140.94,2017,3053206022
2017-02-10,P001,Product 1,826,6,0.02,161.9,2017,3205866323
2017-02-11,P001,Product 1,705,6,0.12,124.08,2017,3366159639
2017-02-12,P001,Product 1,873,6,0.2,139.68,2017,3534467621
2017-02-13,P001,Product 1,305,6,0.01,60.39,2017,3711191002
2017-02-14,P001,Product 1,340,6,0.13,59.16,2017,3896750553
2017-02-15,P001,Product 1,277,6,0.01,54.85,2017,4091588080
2017-02-16,P001,Product 1,683,6,0.01,135.23,2017,4296167484
2017-02-17,P001,Product 1,218,6,0.22,34.01,2017,4510975858
2017-02-18,P001,Product 1,988,6,0.23,152.15,2017,4736524651
2017-02-19,P001,Product 1,746,6,0.18,122.34,2017,4973350884
2017-02-20,P001,Product 1,155,6,0.22,24.18,2017,5222018428
